fNo;INCDTNUNIQUE;INCDTNO;IYR;IMO;RAILROAD;RR2;INCDTNO2;RR3;INCDTNO3;GXID;YEAR;MONTH;DAY;TIMEHR;TIMEMIN;AMPM;TYPE;CARS;CARSDMG;CARSHZD;EVACUATE;DIVISION;STATION;MILEPOST;STATE;TEMP;VISIBLTY;WEATHER;TRNSPD;TYPSPD;TRNNBR;TRNDIR;TONS;TYPEQ;EQATT;TRKNAME;TRKCLAS;TRKDNSTY;TYPTRK;RRCAR1;CARNBR1;POSITON1;LOADED1;RRCAR2;CARNBR2;POSITON2;LOADED2;HEADEND1;MIDMAN1;MIDREM1;RMAN1;RREM1;HEADEND2;MIDMAN2;MIDREM2;RMAN2;RREM2;LOADF1;LOADP1;EMPTYF1;EMPTYP1;CABOOSE1;LOADF2;LOADP2;EMPTYF2;EMPTYP2;CABOOSE2;EQPDMG;TRKDMG;CAUSE;CAUSE2;CASKLDRR;CASINJRR;CASKLD;CASINJ;ACCAUSE;ACCTRK;ACCTRKCL;HIGHSPD;ACCDMG;STCNTY;TOTINJ;TOTKLD;ENGRS;FIREMEN;CONDUCTR;BRAKEMEN;ENGHR;ENGMIN;CDTRHR;CDTRMIN;JOINTCD;REGION;TYPRR;RRDIV;METHOD;NARRLEN;YEAR4;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;COUNTY;CNTYCD;ALCOHOL;DRUG;PASSTRN;SSB1;SSB2;RCL;Latitude;Longitud;SIGNAL;MOPERA;SUBDIV;PC1;PC2;PC3;PC4;PC5
1452;156507-1452;156507;24;3;NS;ATK;178756;NS;156507;;24;3;8;6;58;PM;9;0;0;0;0;;PELL CITY;763;1;60;3;1;0;E;;;0;;;SINGLE MAIN TRACK;4;23;1;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;M404;;0;0;0;0;M404;1;4;31;33222;01C115;0;0;0;0;0;0;0;;0;;2;3;1;;;104;2024;0;0;0;0;0;0;ST CLAIR;115;;;N;;;;33.591494;-86.266744;1;2;EAST END;-0.413934045;-1.82849901;0.091344411;-0.003765397;-0.906184641
1453;216647-1453;216647;24;3;CSX;;;CSX;216647;;24;3;10;5;30;AM;12;0;0;0;0;;MOBILE;665;1;50;1;1;0;E;Y321;2;0;7;Y;SOUTHEND LEAD;1;0;2;OLNX;718281;1;N;;;0;;1;0;0;0;0;0;0;0;0;0;18;0;6;0;0;0;0;0;0;0;47503;97;H318;;0;0;0;0;H318;2;1;4;57440;01C097;0;0;1;0;1;0;5;30;5;30;3;3;1;;;214;2024;0;0;0;0;0;0;MOBILE;97;0;0;N;1440;2;0;30.711363;-88.046535;2;5;M AND M;-0.645241926;-0.639254276;-0.55533899;-0.043285567;1.028305163
1454;216647-1454;216647;24;3;CSX;;;CSX;216647;;24;3;10;5;30;AM;12;0;0;0;0;;MOBILE;665;1;50;1;1;4;R;Y292;2;0;7;Y;S13 YARD TRACK;1;0;2;CSXT;134169;1;N;;;0;;1;0;0;0;0;0;0;0;0;0;14;0;10;0;0;0;0;1;0;0;9840;0;H318;;0;0;0;0;H318;2;1;4;57440;01C097;0;0;1;0;1;0;8;31;8;5;1;3;1;;;214;2024;0;0;0;0;0;0;MOBILE;97;0;0;N;1452;0;3;30.711363;-88.046535;2;5;M AND M;-0.485725028;-0.111781922;-0.339308247;-0.294401886;2.151804385
1455;178756-1455;178756;24;3;ATK;;;NS;156507;;24;3;8;6;58;PM;9;0;0;0;0;;PELL CITY;763;1;60;4;2;31;E;20;3;0;2;Y;SINGLE MAIN TRACK;3;23;1;AMT;181;1;;;;0;;2;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;32822;0;M404;;0;0;0;0;M404;1;4;31;33222;01C115;0;0;1;1;1;1;5;56;5;56;1;3;6;;;192;2024;0;0;0;0;0;0;ST CLAIR;115;;;Y;736;2;0;33.59147;-86.26699;1;1;EAST END DISTRICT;1.130198602;-0.232542167;2.925221938;-1.45522479;0.631536987
1456;156341-1456;156341;24;4;NS;;;NS;156341;;24;4;12;10;30;AM;1;0;0;0;0;;IRONDALE;791;1;75;2;1;2;E;AB03;1;0;7;Y;RT09;1;;2;NS;201654;1;Y;NS;201654;1;Y;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;5600;35402;E21C;;0;0;0;0;E21C;2;1;2;41002;01C073;0;0;1;0;0;0;2;30;0;;1;3;1;;;195;2024;0;0;0;0;0;0;JEFFERSON;73;;;N;6100;;1;33.548905;-86.678009;2;5;EAST END;-0.670781454;-1.676267277;-0.403612765;0.071571948;-0.289962341
1457;222076-1457;222076;24;12;CSX;;;CSX;222076;;24;12;7;7;34;PM;1;0;0;0;0;;MONTGOMERY;896;1;46;3;1;6;R;M210;1;5317;1;Y;HYUNDAI LEAD;1;0;4;TTGX;995461;21;N;;;0;;2;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;8;0;0;27974;1199;M405;;0;0;0;0;M405;4;1;6;29173;01C101;0;0;1;0;1;0;8;4;8;4;1;3;1;;;217;2024;0;0;0;0;0;0;MONTGOMERY;101;;;N;9738;2;0;32.305981;-86.310093;2;5;DOTHAN;-0.438822102;0.167362735;-0.285390859;-0.305290589;2.033405795
1458;AGR674024L-1458;AGR674024L;24;1;AGR;;;AGR;AGR674024L;;24;1;23;12;30;PM;9;0;0;0;0;;ALICEVILLE;688.5;1;70;2;3;10;E;;2;0;A;Y;SINGLE MAIN TRACK;3;68.87;1;GO;31813;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;21000;0;H607;H997;0;0;0;0;H607;1;3;10;21000;01C107;0;0;1;0;1;0;6;30;6;30;1;3;Cl;;;494;2024;0;0;0;0;0;0;PICKENS;107;;;N;21;1;0;33.013356;-88.148059;2;2;MAGNOLIA;-0.286644621;-0.637066735;0.147270284;-0.399857775;1.441198424
1459;D68111524-1459;D68111524;24;11;FEC;BLF;20245752;FEC;D68111524;;24;11;15;3;35;PM;9;0;0;0;0;;MELBOURNE;193.3;12;87;2;1;0;;;1;0;;;WEST MAIN;6;2.45;1;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403;M402;;0;0;0;1;M402;1;6;50;40403;12C009;0;0;0;0;0;0;0;;0;;1;3;2;;;385;2024;0;0;0;0;0;0;BREVARD;9;;;;569;2;;28.092071;-80.613513;1;1;SYSTEM;-0.166265304;-1.741532823;0.675006793;0.529929064;-1.027327597
1460;D69111824-1460;D69111824;24;11;FEC;;;FEC;D69111824;;24;11;18;4;26;AM;13;0;0;0;0;;JACKSONVILLE;7;12;58;4;1;5;E;JOB;1;0;7;Y;CEMEX/B10;1;;2;TITX;35012;39;Y;;;0;;1;0;0;0;0;0;0;0;0;0;42;0;0;0;0;3;0;0;0;0;145000;11839;H702;;0;0;0;0;H702;2;1;5;156839;12C031;0;0;1;0;1;0;5;56;5;56;1;3;2;;;222;2024;0;0;0;0;0;0;DUVAL;31;0;0;N;2384;1;0;30.235942;-81.598661;2;5;SYSTEM;-0.606285874;0.45609895;-0.699186715;0.054557594;0.575634179
1461;X58110724-1461;X58110724;24;11;FEC;;;FEC;X58110724;271979N;24;11;7;6;35;PM;7;1;0;0;0;;EDGEWATER;128.58;12;77;4;1;38;E;2060;1;19119;1;Y;SINGLE MAIN;4;2.45;1;FEC;809;1;N;;;0;;6;0;0;0;0;0;0;0;0;0;141;0;31;0;0;0;0;0;0;0;240;25791;M302;;0;0;0;0;M302;1;4;38;26031;12C127;0;0;1;0;1;0;7;35;7;35;1;3;2;;;366;2024;0;0;0;0;0;0;VOLUSIA;127;;;N;9300;3;0;28.96981;-80.902462;1;1;SYSTEM;0.425507134;4.771196519;0.509503356;-0.298790207;-0.800244648
1462;X59111224-1462;X59111224;24;11;FEC;BLF;20245737;FEC;X59111224;272518H;24;11;12;10;35;AM;7;0;0;0;0;;POMPANO BEACH;330.31;12;85;2;1;0;;;1;0;;;WEST MAIN;4;2.45;1;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402;M308;;0;0;0;1;M308;1;4;76;26521;12C011;0;0;0;0;0;0;0;;0;;1;3;2;;;362;2024;0;0;0;0;0;0;BROWARD;11;;;;569;2;;26.2716;-80.114478;1;1;SYSTEM;0.113930438;-1.611998617;1.165754786;0.398734277;-1.28536718
1463;217225-1463;217225;24;4;CSX;;;CSX;217225;;24;4;5;8;0;PM;4;0;0;0;0;;AUGUSTA;459;13;62;3;1;4;E;Y290;3;0;7;Y;EE LEAD A10;X;0;2;CEFX;75334;9;N;;;0;;1;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;60031;0;H306;;0;0;0;0;H306;2;1;4;60068;13C245;0;0;1;0;1;0;3;;3;;1;3;1;;;259;2024;0;0;0;0;0;0;RICHMOND;245;0;0;N;2380;0;3;33.455455;-81.952475;2;5;AUGUSTA;-0.578274518;-1.055062306;-0.343535558;-0.042789685;0.32374729
1464;CIC0001F-1464;CIC0001F;24;9;CIC;;;CIC;CIC0001F;NOTASGN;24;9;27;12;0;AM;5;1;0;0;0;;CEDAR RAPIDS;2;19;57;4;1;7;E;16;1;0;7;N;904;1;15;2;GBRX;715480;24;N;SHPX;45294;25;N;2;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;20000;0;H318;H399;0;0;0;0;H318;2;1;7;20000;19C113;0;0;1;0;1;0;3;;3;;1;6;3;;;1500;2024;0;0;0;0;0;0;LINN;113;;;N;1560;1;0;41;-41;2;5;SUB MP;-0.480743951;-0.996219498;-0.166837625;-0.116413762;0.296946348
1465;0924GL014-1465;0924GL014;24;9;UP;;;UP;0924GL014;;24;9;16;9;38;PM;1;0;0;0;0;;COUNCIL BLUFFS;-0.54;19;73;4;1;3;E;YCB7;3;1179;7;Y;YARD 208;1;;2;MWCX;480949;12;N;;;0;;2;0;0;0;0;0;0;0;0;0;5;0;14;0;0;0;0;1;0;0;11425;848;H607;H702;0;0;0;0;H607;2;1;3;12273;19C155;0;0;1;0;0;1;5;39;0;;1;6;CL;;;218;2024;0;0;0;0;0;0;POTTAWATTAMIE;155;0;0;N;1178;2;3;41.24003;-95.868942;2;5;OMAHA SUB;-0.639361751;-1.148657331;-0.441793358;0.021688946;0.168631563
1466;1714479-1466;1714479;24;9;CC;;;CC;1714479;;24;9;21;9;0;PM;12;0;0;0;0;;SIOUX CITY;381.14;19;65;4;1;4;E;R995;4;135;1;Y;SC06;1;;2;AOK;60091;5;Y;;;0;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;10152;0;H318;;0;0;0;0;H318;2;1;4;72440;19C193;0;0;1;0;1;1;2;;2;;3;6;No;;;239;2024;0;0;0;0;0;0;WOODBURY;193;;;N;300;1;0;42.515034;-96.383;2;5;CHEROKEE;-0.586122771;-1.339549426;-0.303521392;-0.012570088;-0.00607897
1467;TC0624105-1467;TC0624105;24;6;BNSF;UP;0624GL007;BNSF;TC0624105;;24;6;10;5;50;AM;1;0;0;0;0;;SIOUX CITY;107.8;19;82;1;1;0;;;;0;;;SINGLE MAIN TRACK;4;44.83;1;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65000;H702;;0;0;0;0;H702;1;4;8;119690;19C193;0;0;0;0;0;0;0;;0;;1;6;1;;;251;2024;0;0;0;0;0;0;WOODBURY;193;;;;;;;42.488236;-96.38123;2;2;SIOUX CITY;-0.661799509;-1.943086963;-0.342778814;0.11229153;-0.677918856
1468;TC0624118-1468;TC0624118;24;6;BNSF;;;BNSF;TC0624118;;24;6;21;3;42;AM;1;0;0;0;0;;ALVORD;159.1;19;67;4;3;20;E;GPAN;1;10806;1;Y;SINGLE MAIN TRACK;4;27.79;1;BNSF;6633;1;;;;0;;2;0;0;0;1;2;0;0;0;0;82;0;0;0;0;11;0;0;0;0;957661;180000;M103;;0;0;0;0;M103;1;4;20;1137661;19C119;0;0;1;0;1;0;5;42;5;42;1;6;1;;;158;2024;0;0;0;0;0;0;LYON;119;;;N;4778;2;0;43.326472;-96.294752;2;2;MARSHALL;-0.122508766;2.040290607;-0.038511827;-0.109317819;-0.321554625
1469;0624GL007-1469;0624GL007;24;6;UP;;;BNSF;TC0624105;;24;6;10;5;50;AM;1;0;0;0;0;;SIOUX CITY;77.18;19;52;1;1;8;E;LNL3;1;3547;1;Y;YARD 130;4;44.8;1;TCBX;231229;28;Y;;;0;;2;0;0;0;0;0;0;0;0;0;28;0;1;0;0;4;0;0;0;0;54690;0;H702;;0;0;0;0;H702;1;4;8;119690;19C193;0;0;1;0;0;2;7;50;0;;2;6;CL;;;251;2024;0;0;0;0;0;0;WOODBURY;193;0;0;N;1821;3;0;42.524009;-96.376953;2;2;SIOUX CITY SUB;-0.518737943;0.019199984;-0.433509058;0.018061908;0.080398117
1470;0724GL005-1470;0724GL005;24;7;UP;;;UP;0724GL005;;24;7;6;5;24;AM;12;0;0;0;0;;DES MOINES;355;19;61;1;1;3;E;;4;140;5;N;YARD 023;1;;2;TILX;291006;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7857;0;H318;;0;0;0;0;H318;2;1;5;20721;19C153;0;0;0;0;0;0;0;;0;;1;6;CL;;;273;2024;0;0;0;0;0;0;POLK;153;0;0;N;61;0;0;41.589444;-93.570348;2;5;PERRY SUB;-0.623878347;-1.850381413;-0.281317289;0.077979865;-0.694587543
1471;0724GL005-1471;0724GL005;24;7;UP;;;UP;0724GL005;;24;7;6;5;24;AM;12;0;0;0;0;;DES MOINES;355;19;61;1;1;5;E;YDM3;3;3278;7;Y;YARD 023;1;;2;MULX;701771;30;N;;;0;;2;0;0;0;0;0;0;0;0;0;22;0;8;0;0;0;0;0;0;0;12864;0;H318;;0;0;0;0;H318;2;1;5;20721;19C153;0;0;2;0;0;0;5;55;0;;3;6;CL;;;273;2024;0;0;0;0;0;0;POLK;153;0;0;N;2825;2;3;41.589444;-93.570348;2;5;PERRY SUB;-0.629867642;-0.36755498;-0.574382177;0.11423614;-0.179799887
1472;0924GL025-1472;0924GL025;24;9;UP;;;UP;0924GL025;;24;9;25;5;0;AM;1;0;0;0;0;;COUNCIL BLUFFS;0.51;19;55;1;1;4;E;MCHC;3;9199;1;Y;YARD 107;1;;2;DJTX;190019;7;Y;;;0;;3;0;0;0;0;0;0;0;0;0;47;0;84;0;0;2;0;2;0;0;34354;848;H307;H702;0;0;0;0;H307;2;1;4;35202;19C155;0;0;1;0;1;1;11;10;9;15;1;6;CL;;;393;2024;0;0;0;0;0;0;POTTAWATTAMIE;155;0;0;N;8181;3;0;41.250048;-95.883538;2;5;OMAHA SUB;-0.5487652;1.650890172;-0.778339154;-0.137694777;2.260216819
1473;1224GP024-1473;1224GP024;24;12;UP;;;UP;1224GP024;;24;12;17;7;25;PM;1;0;0;0;0;;DENVER;0.5;8;40;3;1;3;R;ZLBD;1;5989;1;Y;YARD 301;2;;2;TTGX;707026;13;Y;;;0;;5;0;0;0;0;0;0;0;0;0;116;0;11;0;0;2;0;0;0;0;7292;87000;M405;;0;0;0;0;M405;2;2;3;94292;08C031;0;0;1;0;1;1;4;53;4;53;1;6;CL;;;746;2024;0;0;0;0;0;0;DENVER;31;;;N;11047;3;0;39.758538;-104.993866;2;5;GREELEY SUB;-0.799572427;2.039876175;-1.374262988;0.489977137;-0.633349997
1474;D64110824-1474;D64110824;24;11;FEC;;;FEC;D64110824;;24;11;8;8;45;PM;4;0;0;0;0;;JACKSONVILLE;7;12;80;4;1;5;E;JOB;1;0;7;Y;N B/C CUTOFF;1;;2;COER;900124;28;Y;;;0;;1;0;0;0;0;0;0;0;0;0;26;0;2;0;0;1;0;0;0;0;140000;4091;H702;;0;0;0;0;H702;2;1;5;152091;12C031;0;0;1;0;1;0;8;45;8;45;3;3;2;;;304;2024;0;0;0;0;0;0;DUVAL;31;0;0;N;2658;1;0;30.23787;-81.60091;2;5;SYSTEM;-0.509409249;0.49496962;-0.509353479;-0.200117966;1.905226486
1475;D64110824-1475;D64110824;24;11;FEC;;;FEC;D64110824;;24;11;8;8;45;PM;4;0;0;0;0;;JACKSONVILLE;7;12;80;4;1;5;E;JOB;1;0;7;Y;NORTH B/C CUTOFF;1;;2;FEC;15500;67;N;;;0;;1;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;1;0;0;8000;0;H702;;0;0;0;0;H702;2;1;5;152091;12C031;0;0;1;0;1;0;6;45;6;45;1;3;2;;;304;2024;0;0;0;0;0;0;DUVAL;31;0;0;N;3613;1;0;30.23787;-81.60091;2;5;SYSTEM;-0.559582365;-0.036744976;-0.506803954;-0.12161813;1.296081863
1476;20245204-1476;20245204;24;8;BLF;;;FEC;D50081624;;24;8;16;11;15;AM;9;0;0;0;0;;FT PIERCE;236.8;12;86;2;1;70;E;BLF7;2;0;2;Y;EAST MAIN;6;2.45;1;BLF;725;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;24005;0;M402;;0;0;0;0;M402;1;6;70;24255;12C111;0;0;1;0;1;0;2;40;2;40;2;3;No;;;289;2024;0;0;0;0;0;0;ST LUCIE;111;;;Y;484;2;0;27.303671;-80.20535;1;1;SYSTEM;2.159210826;0.252753632;4.76573736;-1.991431621;-1.222408638
1477;20245245-1477;20245245;24;8;BLF;;;FEC;X44082324;272518H;24;8;23;12;25;PM;7;0;0;0;0;;POMPANO BEACH;330.31;12;88;2;2;79;E;BLF7;2;0;2;Y;EAST MAIN;4;2.45;1;BLF;725;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;14500;0;M308;;0;0;0;0;M308;1;4;79;15282;12C011;0;0;1;0;1;0;3;50;3;50;2;3;No;;;278;2024;0;0;0;0;0;0;BROWARD;11;;;Y;484;2;0;26.2616;-80.114478;1;1;SYSTEM;2.495841028;0.669271776;5.337656833;-2.262158638;-1.022916926
1478;20245263-1478;20245263;24;8;BLF;;;FEC;X46082624;272383E;24;8;26;2;15;PM;7;0;0;0;0;;PALM BEACH GARDENS;290.77;12;94;2;1;76;E;BLF7;1;0;2;Y;WEST MAIN;4;2.45;1;BLF;724;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;12861;0;M308;;1;0;1;0;M308;1;4;76;13254;12C099;0;1;1;0;2;0;6;39;6;39;2;3;No;;;262;2024;0;0;0;0;1;0;PALM BEACH;99;;;Y;484;3;0;26.830627;-80.091951;1;1;SYSTEM;16.72093761;-0.168643921;-1.466941403;-1.025305996;0.559140579
1479;20245270-1479;20245270;24;8;BLF;;;FEC;X47082824;272573H;24;8;28;12;10;PM;7;0;0;0;0;;DANIA;345.81;12;90;2;1;60;E;BLF7;1;0;2;Y;WEST MAIN;4;2.45;1;BLF;723;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;20527;0;M308;;0;1;0;1;M308;1;4;60;20929;12C011;1;0;1;0;2;0;5;35;5;35;2;3;No;;;325;2024;0;0;0;0;0;1;BROWARD;11;;;Y;484;3;0;26.054039;-80.145812;1;1;SYSTEM;1.9752489;0.53638514;4.702861322;-0.43787375;0.299677294
1480;215663-1480;215663;24;1;CSX;;;CSX;215663;;24;1;10;12;17;PM;9;0;0;0;0;;EVANS;475;13;47;2;3;17;E;M692;1;11196;1;Y;SINGLE MAIN TRACK;4;6.9;1;CSXT;3330;1;N;;;0;;4;0;0;0;0;0;0;0;0;0;68;0;83;0;0;0;0;0;0;0;59353;0;M404;;0;0;0;0;M404;1;4;17;59353;13C073;0;0;1;0;1;0;6;17;6;17;1;3;1;;;81;2024;0;0;0;0;0;0;COLUMBIA;73;;;N;6316;2;0;33.570319;-82.131322;1;1;MCCORMICK;-0.188722492;1.836243632;-0.121081197;-0.147987114;0.247338976
1481;20244373-1481;20244373;24;4;BLF;;;FEC;D22040624;;24;4;6;4;48;AM;13;0;0;0;0;;NORTH MIAMI BEACH;352;12;65;4;1;79;E;BLF7;2;0;2;Y;EAST MAIN;4;2.45;1;BLF;705;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;27403;0;M402;;0;0;0;0;M402;1;4;79;27653;12C086;0;0;1;0;1;0;6;43;6;43;1;3;No;;;336;2024;0;0;0;0;0;0;MIAMI-DADE;86;;;N;484;2;0;25.964035;-80.147431;1;1;SYSTEM;2.154947891;1.188818233;4.515211567;-2.076982436;0.1138481
1482;20244381-1482;20244381;24;4;BLF;;;FEC;X17040724;272598D;24;4;7;6;2;AM;7;0;0;0;0;;NORTH MIAMI BEACH;353.18;12;75;1;1;45;E;BLF7;1;0;2;Y;WEST MAIN;4;2.45;1;BLF;701;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;20752;0;M308;;0;0;0;0;M308;1;4;45;21173;12C086;0;0;1;0;1;0;1;2;1;2;1;3;No;;;298;2024;0;0;0;0;0;0;MIAMI-DADE;86;;;Y;484;2;0;25.947475;-80.147559;1;1;SYSTEM;1.256414244;-0.587158127;3.180961937;-1.331806131;-1.114108971
1483;20244386-1483;20244386;24;4;BLF;;;FEC;D17040724;;24;4;7;9;45;PM;9;0;0;0;0;;FT PIERCE;246.3;12;72;4;1;98;E;BLF7;1;0;2;Y;WEST MAIN;6;2.45;1;BLF;729;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;21125;0;M402;;0;1;0;1;M402;1;6;98;21375;12C111;1;0;1;0;1;0;6;48;6;48;1;3;No;;;363;2024;0;0;0;0;0;1;ST LUCIE;111;;;Y;484;2;0;27.38152;-80.296882;1;1;SYSTEM;3.338055666;1.720304212;7.110582204;-1.413479248;-0.05870287
1484;20244443-1484;20244443;24;4;BLF;;;FEC;X21041824;272155S;24;4;18;11;16;AM;7;0;0;0;0;;MICCO;208.99;12;84;2;1;102;E;BLF7;1;0;2;Y;WEST MAIN;6;2.45;1;BLF;720;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;22000;0;M308;;1;0;1;0;M308;1;6;102;22656;12C009;0;1;1;0;1;0;7;41;7;41;1;3;No;;;336;2024;0;0;0;0;1;0;BREVARD;9;;;Y;484;2;0;27.883617;-80.505732;1;1;SYSTEM;17.65911959;0.697729939;0.181137516;-1.709237641;0.43160395
1485;1024GP031-1485;1024GP031;24;10;UP;;;UP;1024GP031;;24;10;17;11;5;AM;13;0;0;0;0;;COMMERCE CITY;5;8;63;2;2;25;E;MNYG;1;6463;1;Y;SINGLE MAIN TRACK;3;18.2;1;NAHX;16199;26;N;NAHX;16199;26;N;3;0;0;0;0;0;0;0;0;0;38;0;48;0;0;0;0;0;0;0;53093;0;E35C;;0;0;0;0;E35C;1;3;25;53093;08C001;0;0;1;0;1;0;4;5;4;5;1;6;CL;;;130;2024;0;0;0;0;0;0;ADAMS;1;;;N;5401;2;0;39.807427;-104.939663;1;1;GREELEY SUB;0.087053722;0.972160168;0.563829612;-0.363227699;-0.282002809
1486;0424GP002-1486;0424GP002;24;4;UP;;;UP;0424GP002;;24;4;2;10;55;AM;12;0;0;0;0;;DENVER;2.55;8;42;2;1;2;E;;1;2794;6;N;YARD 406;1;;2;PROX;60357;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;13139;0;H020;;0;0;0;0;H020;2;1;2;14428;08C031;0;0;0;0;0;0;0;;0;;1;6;CL;;;225;2024;0;0;0;0;0;0;DENVER;31;0;0;N;924;0;0;39.77803;-104.964863;2;5;GREELEY SUB;-0.688085244;-1.744694828;-0.415130132;0.134691379;-0.723083511
1487;0424GP002-1487;0424GP002;24;4;UP;;;UP;0424GP002;;24;4;2;10;55;AM;12;0;0;0;0;;DENVER;2.55;8;42;2;1;0;R;YDE5;1;2219;7;Y;YARD 406;1;;2;PROX;60403;18;N;;;0;;2;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;1289;0;H020;;0;0;0;0;H020;2;1;2;14428;08C031;0;0;1;0;0;2;3;55;0;;3;6;CL;;;225;2024;0;0;0;0;0;0;DENVER;31;0;0;N;2145;3;3;39.77803;-104.964863;2;5;GREELEY SUB;-0.740804336;-1.37604013;-0.593385513;0.135053615;-0.175378317
1488;20245405-1488;20245405;24;9;BLF;;;FEC;X51091924;272536F;24;9;19;4;28;PM;7;0;0;0;0;;OAKLAND PARK;335.13;12;85;2;2;75;E;BLF7;1;0;2;Y;WEST MAIN;4;2.45;1;BLF;704;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;13014;0;M308;;0;1;0;1;M308;1;4;75;14506;12C011;1;0;1;0;2;0;1;28;1;28;2;3;No;;;374;2024;0;0;0;0;0;1;BROWARD;11;;;Y;484;2;0;26.20364;-80.13234;1;1;SYSTEM;2.433383425;0.219879716;5.64366177;-0.594579559;-1.479374577
1489;20245469-1489;20245469;24;9;BLF;;;FEC;X52092724;272485X;24;9;27;12;23;PM;7;0;0;0;0;;BOYNTON BEACH;313.67;12;89;2;2;78;E;BLF7;2;0;2;Y;EAST MAIN;4;2.45;1;BLF;725;1;N;;;0;;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;30016;0;M308;;1;0;1;0;M308;1;4;78;30580;12C099;0;1;1;0;1;0;4;48;4;48;2;3;No;;;255;2024;0;0;0;0;1;0;PALM BEACH;99;;;Y;484;2;0;26.507304;-80.063004;1;1;SYSTEM;16.75538518;-0.472438189;-1.344710412;-0.969975051;-0.22458207
1490;D57102024-1490;D57102024;24;10;FEC;;;FEC;D57102024;;24;10;20;10;30;AM;13;0;0;0;0;;JACKSONVILLE;5.5;12;75;2;1;4;E;JOB;2;0;7;Y;NORTH MAIN SWITCH;1;;2;TTAX;653951;4;Y;;;0;;1;0;0;0;0;0;0;0;0;0;8;0;1;0;0;2;0;1;0;0;10311;4848;H702;;0;0;0;0;H702;2;1;4;15159;12C031;0;0;1;0;1;0;4;30;4;30;1;3;2;;;93;2024;0;0;0;0;0;0;DUVAL;31;0;0;N;570;2;0;30.2619;-81.61814;2;5;SYSTEM;-0.552839362;-0.932205515;-0.315775076;-0.106633196;0.71465206
1491;D54092124-1491;D54092124;24;9;FEC;;;FEC;D54092124;;24;9;21;10;15;PM;13;2;0;0;0;;FT PIERCE;241.8;12;80;4;1;5;E;2082;1;12312;1;Y;2 LEAD;1;;2;SP;518181;98;N;;;0;;6;0;0;0;0;0;0;0;0;0;91;0;19;0;0;0;0;5;0;0;22545;12285;H702;;0;0;0;0;H702;2;1;5;34830;12C111;0;0;1;0;1;0;4;45;4;45;1;3;2;;;337;2024;0;0;0;0;0;0;ST LUCIE;111;0;0;N;6281;2;0;27.440497;-80.322504;2;5;SYSTEM;-0.832462551;2.84608838;-1.580895087;0.593660063;-0.901166068
1492;215955-1492;215955;24;2;CSX;;;CSX;215955;;24;2;3;3;31;PM;13;0;0;0;0;;JACKSONVILLE;638;12;60;2;1;6;E;I026;2;5021;1;Y;R04;1;0;2;DTTX;468203;47;N;;;0;;1;0;1;0;1;0;0;0;0;0;38;0;37;0;0;0;0;6;0;0;0;0;H702;;0;0;0;0;H702;2;1;6;41344;12C031;0;0;1;0;1;0;4;1;4;1;1;3;1;;;978;2024;0;0;0;0;0;0;DUVAL;31;0;0;N;259;2;0;30.383475;-81.768295;2;5;JACKSONVILLE TERMINA;-0.610972655;0.61257241;-0.724228983;0.133860756;0.049265105
