Accidentes,Cluster
0424LA029-1583,0
AZE822024D-1584,0
SW0724107-1585,0
PR0124202-1586,4
KS0324108-1587,0
PR0324107-1588,0
X47082824-1589,0
D50081624-1590,0
217595-1591,0
CH0424110-1592,0
1148829-1593,0
156421-1594,0
156371-1595,0
24006OR-1596,0
216672-1597,0
CIC0002F-1598,0
1024GL026-1599,0
1024GL026-1600,0
20241508-1601,0
1024GL018-1602,4
1024GL025-1603,0
1024GL007-1604,0
1024GL016-1605,0
20241001-1606,0
20241009-1607,0
CIC0002F-1608,0
20240909-1609,0
146818-1610,0
146819-1611,0
146821-1612,0
X41080824-1613,0
X44082324-1614,0
X46082624-1615,0
NKCR243439-1616,0
PR0424110-1617,0
20244732-1618,0
X30060124-1619,0
D40062724-1620,0
1124HL002-1621,0
TC0624103-1622,0
215855-1623,0
215730-1624,0
20244034-1625,0
SERA202412-1626,0
BER703124D-1627,0
BER771124D-1628,0
178206-1629,0
HL1124111-1630,0
0324MA029-1631,0
9419002084-1632,0
1002130855-1633,1
SW0824110-1634,0
219848-1635,0
83547-1636,0
221318-1637,0
221318-1638,0
CFE918224D-1639,0
CFE932224D-1640,0
83513-1641,0
CA0724204-1642,0
CA1124109-1643,0
33024-1644,0
AZE836824S-1645,0
SW0524105-1646,0
179046-1647,0
0424LA032-1648,0
0424LA041-1649,0
0424NC044-1650,0
0324LA018-1651,0
0224NC027-1652,0
CA0424204-1653,0
179573-1654,0
0424RM021-1655,1
0124NC045-1656,0
0324NC002-1657,0
0324NC004-1658,0
0324NC004-1659,0
0324NC027-1660,0
177807-1661,0
CA0124103-1662,0
SERA202404-1663,0
CA0724109-1664,4
0524NC002-1665,0
52624-1666,0
180389-1667,0
0424NC058-1668,0
0624LA037-1669,0
0624LA047-1670,0
0624LA047-1671,0
0624LA049-1672,0
CA0824111-1673,0
0724NC005-1674,0
0724LA001-1675,0
CA1024110-1676,0
CA1024111-1677,0
CA1024114-1678,0
182194-1679,0
CA0924106-1680,0
182261-1681,0
0924LA027-1682,2
0924NC014-1683,0
CA0924101-1684,0
CA0924119-1685,0
0324NC004-1686,0
0924NC033-1687,0
SJV897524D-1688,0
ACEX00004F-1689,0
SJV024824R-1690,0
183019-1691,0
SJV736224R-1692,0
CA0624128-1693,0
1124NC001-1694,0
TC0324201-1695,0
MT0324109-1696,0
KS0124111-1697,0
HL1124101-1698,0
PR0924104-1699,0
1717509-1700,0
PR1024101-1701,0
PR1024110-1702,0
PR1024102-1703,0
PR0824105-1704,0
PR0824109-1705,2
PR0824109-1706,0
0224GP016-1707,0
PR0624110-1708,0
178187-1709,1
01032024DR-1710,2
0124GP002-1711,0
182209-1712,0
171849-1713,0
222303-1714,0
158805-1715,0
24029-1716,0
20242897-1717,0
9419002372-1718,0
9419002426-1719,0
180292-1720,0
82945-1721,0
82577-1722,0
9419002511-1723,0
14794-1724,0
1024MA046-1725,0
1024AS006-1726,0
CH0524103-1727,0
1024MA012-1728,0
1024MA023-1729,0
CH0824109-1730,0
158419-1731,0
82341-1732,0
PWR791224A-1733,0
83044-1734,0
82958-1735,0
1224MA004-1736,0
9419002481-1737,0
0524PR015-1738,0
1024PR018-1739,0
1024PR018-1740,0
111920241-1741,0
1124AS006-1742,0
222303-1743,0
183382-1744,0
241221DCR-1745,0
222042-1746,0
KS0224104-1747,0
KS0224118-1748,0
KS0224118-1749,0
E2024JUL1D-1750,0
217892-1751,0
220579-1752,0
1714699-1753,0
1714699-1754,0
220579-1755,0
90420241-1756,0
14796-1757,0
IMR856224O-1758,0
CH1024106-1759,0
IMR990224D-1760,0
CH1024106-1761,0
182853-1762,0
CH0424103-1763,0
CH0524105-1764,0
178061-1765,0
20244094-1766,0
20244114-1767,0
177968-1768,0
156057-1769,0
1024LA017-1770,2
180655-1771,0
82805-1772,0
82805-1773,0
158132-1774,1
T09021624-1775,0
X11021324-1776,0
181355-1777,0
D72120124-1778,0
D72120124-1779,0
221460-1780,0
221907-1781,0
221597-1782,0
20245737-1783,0
20245752-1784,0
73120241-1785,0
217254-1786,0
217254-1787,0
20245369-1788,0
20245384-1789,0
BAY950924D-1790,0
219750-1791,0
BAY896724D-1792,0
BAY896724D-1793,0
20245167-1794,0
218213-1795,0
1162024-1796,0
D24051724-1797,0
X26051324-1798,0
219218-1799,0
5182024-1800,0
D16040724-1801,0
D16040724-1802,0
D17040724-1803,0
D22040624-1804,0
X17040724-1805,0
0524PR013-1806,0
0724AS001-1807,0
0824MA010-1808,0
0924PR014-1809,0
0824PR009-1810,0
24022OR-1811,0
221965-1812,0
20244605-1813,0
N2400017-1814,0
3172024-1815,0
0724MA019-1816,0
20243924-1817,0
20244023-1818,0
X02011024-1819,0
X03011224-1820,0
X07012724-1821,0
181178-1822,0
82472-1823,0
SW1124109-1824,0
1124LA013-1825,0
1124LA027-1826,0
1024LA052-1827,0
1024LA052-1828,0
84166-1829,0
83909-1830,0
83941-1831,0
X09013024-1832,0
20243915-1833,0
215490-1834,0
HL0124110-1835,0
0124HL034-1836,0
MNA653824D-1837,2
216406-1838,0
216249-1839,0
216249-1840,0
24066-1841,0
PWR891224R-1842,0
SW0324113-1843,0
0924LA005-1844,0
0924LA026-1845,0
0924LA026-1846,0
0924LA034-1847,0
CH0324104-1848,0
0824LA009-1849,0
0524LA038-1850,0
SW1024101-1851,0
SW0824101-1852,4
0824LA003-1853,0
0824LA003-1854,0
CH0424102-1855,0
24007-1856,0
0224LA023-1857,0
0324LA023-1858,0
SW0424108-1859,0
SW0424109-1860,0
X21041824-1861,0
D14033024-1862,0
AZE755524D-1863,0
CH0824201-1864,0
202406299-1865,0
202406313-1866,0
PR0324108-1867,0
202406301-1868,0
217645-1869,0
217645-1870,0
1714479-1871,0
0824GL010-1872,2
222253-1873,0
222253-1874,0
158533-1875,0
221652-1876,0
TPW029024G-1877,0
221630-1878,0
221652-1879,0
156979-1880,0
158557-1881,0
221855-1882,0
221855-1883,0
202406316-1884,0
20241022-1885,0
241120005-1886,0
146886-1887,2
220963-1888,0
0324ES020-1889,0
KS0324112-1890,0
1717380-1891,2
1224TO005-1892,0
1224TO006-1893,2
1224TO015-1894,0
1224TO015-1895,0
24120201-1896,0
580319-1897,0
240510001-1898,0
KS0824126-1899,0
RD0824125-1900,0
RD0824118-1901,0
RD0824115-1902,0
RD0824102-1903,4
0724HO024-1904,0
0724HO050-1905,0
0724HO005-1906,0
0724HO005-1907,0
KS0924102-1908,0
KS0924102-1909,0
RD0724108-1910,0
RD0924102-1911,0
0624HO007-1912,0
RD0624132-1913,0
0724GC020-1914,0
0524ES019-1915,0
0524ES035-1916,0
0524ES035-1917,0
0124HO001-1918,0
0624SX036-1919,0
0124HO001-1920,0
0724SX025-1921,0
0824HO046-1922,0
0824HO046-1923,0
0824HO053-1924,0
0824HO053-1925,0
0824HO003-1926,0
0824HO004-1927,0
0824HO004-1928,0
RD0824104-1929,0
0824SX020-1930,0
0824SX033-1931,0
0824TO036-1932,0
0824ME033-1933,0
2024012-1934,0
2024014-1935,0
2024XAAL01-1936,0
0724TO007-1937,0
0724SX003-1938,0
0724TO017-1939,0
0724TO017-1940,0
0724TO022-1941,1
0724HO024-1942,0
DGN984724R-1943,0
RLAX82924-1944,0
RD1024109-1945,0
RD1024111-1946,0
2024012-1947,0
RD1024108-1948,0
24092001-1949,2
241022003-1950,0
RD1024101-1951,0
RD1024101-1952,0
0924MA017-1953,0
0924HO010-1954,0
0924HO011-1955,0
0924HO011-1956,0
0924SX003-1957,0
0924SX005-1958,0
0924SX026-1959,0
24121401-1960,0
0924TO028-1961,0
TRE0012F-1962,0
RD0924102-1963,0
RD0924112-1964,0
RD0924113-1965,0
RD0924113-1966,0
RD0924125-1967,0
RD0924206-1968,0
RD0924211-1969,0
0924GC028-1970,0
24100401-1971,1
24100501-1972,0
DGN994924D-1973,0
580321-1974,0
RV24015-1975,0
2024017-1976,0
0624TO038-1977,0
0624SX023-1978,0
0624TO006-1979,4
0624TO027-1980,0
0624TO006-1981,0
0624HO012-1982,0
0624HO013-1983,0
0624HO017-1984,0
RD0724114-1985,0
0624HO028-1986,0
0624HO005-1987,0
KS0724205-1988,0
RD0724129-1989,0
RD0724129-1990,0
RD0724120-1991,0
RD0724113-1992,0
KS0724110-1993,0
RD0724126-1994,0
RD0724122-1995,0
RD0724114-1996,0
0624TO005-1997,0
RD0624114-1998,0
RD0624126-1999,0
RD0624202-2000,0
580318-2001,0
0524HO005-2002,0
0524HO025-2003,0
0524HO025-2004,0
0324SX019-2005,0
0524ES019-2006,0
RD0424202-2007,0
0424TO029-2008,2
0524SX020-2009,0
0524TO002-2010,2
0524TO004-2011,1
0524TO026-2012,0
RD0624102-2013,0
0424TO033-2014,0
RD0524120-2015,0
DGN787424D-2016,0
RD0524113-2017,0
RD0524107-2018,0
RD0524108-2019,4
RD0324110-2020,0
RD0324110-2021,0
0424SX012-2022,0
0424TO016-2023,0
0424TO020-2024,0
0424TO020-2025,0
0324HO018-2026,0
0324HO007-2027,0
0324HO024-2028,0
0324HO024-2029,0
0324HO025-2030,0
0124TO016-2031,0
178917-2032,0
0324TO010-2033,0
0324SX004-2034,0
0324SX010-2035,0
HL0824102-2036,0
D202406-2037,0
0724GL008-2038,0
0724GL008-2039,0
0724GL015-2040,0
0724GL029-2041,0
0724GL033-2042,1
1002146114-2043,0
217111-2044,0
217225-2045,0
0324SX010-2046,0
0324TO005-2047,0
0324TO010-2048,0
RD0424108-2049,0
0224HO024-2050,0
0224HO024-2051,0
0224HO030-2052,0
0224HO030-2053,0
0324TO030-2054,0
0324ES020-2055,0
24041101-2056,0
179312-2057,0
RD0424110-2058,0
0424HO013-2059,0
0424HO026-2060,0
0424HO027-2061,0
0424HO027-2062,0
0424HO054-2063,0
RD0324107-2064,0
RD0324108-2065,0
RD0324111-2066,0
0224TO030-2067,4
RD0324206-2068,0
0224TO037-2069,4
24110501-2070,0
RLAX21224-2071,0
KS0324112-2072,0
24051201-2073,0
0124HO031-2074,0
0724GL015-2075,0
0724GL024-2076,0
0224SX001-2077,0
0224SX016-2078,0
0224TO002-2079,0
0224TO009-2080,0
0224TO012-2081,0
0224TO012-2082,0
PTRA00045F-2083,0
RD0224119-2084,0
RD0224205-2085,0
KS0224111-2086,0
0124SX003-2087,0
0124SX018-2088,0
0124TO001-2089,4
0124TO034-2090,0
0124TO034-2091,0
178554-2092,0
0124ES002-2093,0
0124HO006-2094,0
0124HO015-2095,0
KS0324114-2096,0
177951-2097,0
RD0124104-2098,0
RD0124110-2099,0
240622001-2100,0
240622001-2101,0
052024B-2102,0
580322-2103,0
1124SX001-2104,2
1124SX003-2105,0
1024TO003-2106,0
1024SX027-2107,0
0724HO019-2108,0
0724HO019-2109,0
RD0124126-2110,0
RD0124102-2111,0
146914-2112,0
155957-2113,0
155744-2114,0
GCA202499-2115,0
0724GL007-2116,0
0524GL021-2117,4
1149882-2118,0
155683-2119,0
155683-2120,0
155683-2121,0
202410575-2122,0
146826-2123,0
178646-2124,0
182727-2125,0
181974-2126,0
217342-2127,0
052024B-2128,0
0924TO023-2129,0
1124TO006-2130,1
1124TO023-2131,0
1124HL016-2132,0
1124HO014-2133,0
1124HO022-2134,0
1124HO027-2135,0
0924TO001-2136,0
0924TO023-2137,0
1024HO011-2138,0
0824HO050-2139,0
1024TO004-2140,0
TNE013424D-2141,0
2024024-2142,0
0524ES051-2143,0
1024SX011-2144,0
1024SX023-2145,0
1024SX023-2146,0
1024SX027-2147,0
2024018-2148,0
2024018-2149,0
0524ES051-2150,0
0524ES051-2151,0
1024HO013-2152,0
1024HO013-2153,0
1024HO039-2154,0
RD0624108-2155,4
RD1124103-2156,0
KS1124204-2157,0
1024TO005-2158,0
1024TO008-2159,0
1124SX018-2160,0
0324TO046-2161,0
RD1224115-2162,0
RD1224120-2163,4
09062024A-2164,0
RD1224103-2165,0
RD0724101-2166,0
RD1224202-2167,0
RD1224121-2168,0
RD1224131-2169,0
RD1224122-2170,2
RD1224124-2171,0
TRE0012F-2172,0
DGN863724D-2173,0
1224TO033-2174,1
1224HO001-2175,0
1224HO010-2176,0
1224HO010-2177,0
1224HO014-2178,0
1224HO014-2179,2
1224HO032-2180,0
1224SX001-2181,0
1224SX007-2182,0
1224SX020-2183,0
0724RM009-2184,0
PR1124106-2185,0
1124RM013-2186,0
0624RM001-2187,0
0724RM009-2188,0
0124RM016-2189,0
0224RM016-2190,0
0424RM025-2191,0
0324RM028-2192,0
0424RM025-2193,0
0524RM011-2194,0
0524RM011-2195,0
0524RM025-2196,0
0524RM025-2197,0
0624RM022-2198,0
0624RM006-2199,0
2024CSX011-2200,0
2024A0505-2201,0
157766-2202,0
157766-2203,0
157697-2204,0
219676-2205,0
157599-2206,0
157610-2207,0
181807-2208,0
220189-2209,0
220244-2210,2
182449-2211,0
158041-2212,0
158041-2213,0
157919-2214,0
221317-2215,0
221025-2216,2
220970-2217,0
218810-2218,0
180075-2219,0
CAR831724D-2220,0
180454-2221,0
157479-2222,0
157127-2223,0
157182-2224,0
219452-2225,0
157479-2226,0
157479-2227,0
156638-2228,0
156911-2229,0
156901-2230,0
156725-2231,0
156814-2232,0
156814-2233,0
218788-2234,0
155739-2235,0
218966-2236,0
218422-2237,0
218422-2238,0
155281-2239,0
156060-2240,0
156012-2241,0
155663-2242,0
155712-2243,0
155739-2244,0
155798-2245,0
155808-2246,0
215558-2247,0
215605-2248,0
155539-2249,0
155420-2250,0
155420-2251,0
155632-2252,0
155632-2253,0
158229-2254,0
158229-2255,0
158229-2256,0
158511-2257,0
220840-2258,0
158522-2259,0
NEC764924D-2260,4
1825-2261,0
SCR240624-2262,0
NW0624109-2263,0
NW0624109-2264,0
NW0624106-2265,0
NW0624105-2266,0
NW0624105-2267,0
NW0624102-2268,0
NW0324126-2269,0
NW0524105-2270,0
PNW865624R-2271,0
NW0724113-2272,0
NW0724114-2273,0
NW0724111-2274,0
NW0724105-2275,0
NW0424119-2276,0
PSA834524D-2277,0
0624PN022-2278,2
NW1024109-2279,0
NW1024104-2280,0
182175-2281,0
NW1024102-2282,0
10062024A-2283,0
LS1024109-2284,0
NW0924203-2285,0
0824PN015-2286,0
NW0824111-2287,0
NW0824118-2288,0
NW0824122-2289,0
NW0824124-2290,0
179336-2291,0
PSA781224R-2292,0
178661-2293,0
NW0324113-2294,0
LS0324113-2295,0
24030401-2296,0
NW0224118-2297,0
NW0224114-2298,0
NW0224115-2299,0
NW0224120-2300,0
24001-2301,0
NW0124109-2302,0
SCR241219-2303,0
183783-2304,0
NW1224118-2305,0
NW1224120-2306,0
NW1224110-2307,0
NW1124127-2308,0
NW1124101-2309,0
NW1124101-2310,0
NW1124103-2311,0
NW1124105-2312,0
NW1124121-2313,0
NW1124122-2314,0
NW1124124-2315,0
WER0018F-2316,0
WER0019F-2317,0
1124PN010-2318,0
LS1124105-2319,0
LS1124105-2320,0
183261-2321,0
1715861-2322,0
0424PR008-2323,0
0224PR021-2324,0
TC0124105-2325,0
177994-2326,0
0224PR017-2327,0
240814005-2328,0
0724PR003-2329,0
0724PR003-2330,0
0724PR003-2331,0
0724PR003-2332,0
1714537-2333,0
1002175901-2334,0
1002175901-2335,0
240712002-2336,4
0524PR006-2337,0
CH1124101-2338,0
157221-2339,0
219404-2340,0
157414-2341,0
219710-2342,0
217594-2343,0
216177-2344,4
156105-2345,0
216509-2346,0
215402-2347,0
155487-2348,0
158179-2349,0
158387-2350,0
158835-2351,0
PR0124113-2352,0
1124RM010-2353,0
1024RM014-2354,0
PR0124105-2355,2
PR0124109-2356,0
PR0224102-2357,0
0424RM031-2358,0
0424RM031-2359,0
0324GP009-2360,0
PR0824108-2361,0
PR0824102-2362,0
PR0824103-2363,0
0824RM010-2364,0
0924GP026-2365,0
240923001-2366,0
PR0524103-2367,0
PR0524106-2368,2
PR0624106-2369,2
PR0624107-2370,0
